Country,Culture,Language,Genre,Url,Csv
Argentina,American Indian,,Islamica|World,http://www.folkways.si.edu/tinininsk/two-songs/islamica-world/music/track/smithsonian,VocalContours/Argentina_FW04175_311.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/shaman-chant-no-1/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_101.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/shaman-chant-no-2/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_102.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/shaman-chant-no-4/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_104.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/shaman-chant-no-8/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_201.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/shaman-chant-no-9-shaman-chant-no-10/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_202.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/shaman-chant-no-15/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_206.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/shaman-chant-no-27-shaman-chant-no-28/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_306.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/shaman-chant-no-31-womens-chant-no-32/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_401.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/lament-no-36-lament-no-37/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_403.csv
Argentina,American Indian,,American Indian|World,http://www.folkways.si.edu/lola-kiepja/laments-no-38-39-40/american-indian-world/music/track/smithsonian,VocalContours/Argentina_FW04176_404.csv
